Hip,Sex,Sire,State,TBX #,Day / Set,Distance,UT Time,GO Time,G.O. 1/4,G.O. 3/8,G.O. 1/2,G.O. 5/8,A.W. 1/8,A.W. 1/4,A.W. 3/8,DI,CD,Wind,Temp,Notes,Track Cond.,Barn,Consignor,Auction History,Stud Fee
112,C,Mo Donegal,NY,,,1/8,10.2,11,34.2,48.1,,11.18,24.04,37.98,3,0.58,3 mph CW,83°,,Fair,17,"My Little Stable Racing, Inc., Agent I",HB,$5K 2026 / $20K 2023,$7.5K 2026 / $7.5K 2023
113,C,Roadster,FL,,,1/8,10.2,11,34.4,50,,11.1,24.52,39.6,3,0.88,11 mph TW,77°,,Fair,14,"Wade Russell Racing LLC, Agent",25OBSOCT $24K,$7.5K 2026 / $7.5K 2023,$12.5K 2026 / $10K 2023
114,C,NYQUIST,MD,,,1/8,10.2,11,34.2,48.2,,11.19,24.17,38.17,3,0.67,0 mph,63°,,Fair,11,"Scanlon Training & Sales, Agent",25EASOCT $370K,$175K 2026 / $55K 2023,$25K 2026 / $30K 2023
115,F,Vino Rosso,KY,,,1/8,10,10.3,33,47.3,,10.62,23.17,37.73,3,0.63,10 mph TW,83°,,Fair,17,"30-30 Ranch, Agent",25KEESEP $9K,$7.5K 2026 / $15K 2023,$75K 2026 / $25K 2023
116,C,Jack Christopher,KY,,,,,,,,,,,,2.56,0.5,,,,,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent I",25KEESEP $250K,$15K 2026 / $45K 2023,$10K 2026 / $20K 2023
117,F,Jack Christopher,KY,,,1/8,10,11,35.1,52.1,,11.17,25.36,42.34,3.8,0.67,0 mph,65°,,Fair,11,"Randy Miles, Agent X",25KEESEP ($35K),$15K 2026 / $45K 2023,$25K 2026 / $75K 2023
118,C,Curlin's Honor,FL,,,,,,,,,,,,3.67,0.64,,,,,18,"Golden Noguez, Agent II",25OBSOCT ($8K),$2.5K 2026 / $2.5K 2023,$100K 2026 / $15K 2023
119,C,Army Mule,LA,,,,,,,,,,,,6,0.93,,,,,2,"Richardson Bloodstock, Agent I",25TTAYRL $50K / 25OBSWIN $45K,$25K 2026 / $12.5K 2023,$3K 2023 / $3K 2023
120,F,Global Campaign,ON,,,1/8,10.1,10.9,33.3,47.3,,10.91,23.51,37.53,3.44,0.7,5 mph TW,70°,,Slow,6,"McKathan Bros. Sales, Agent I",HB,N/A 2026 / $10K 2023,$15K 2026 / $30K 2023
121,C,Mo Donegal,KY,,,1/4,22.2,11.9,34.1,47.4,01:03.4,,11.85,25.5,3,0.57,7 mph TW,84°,,Fair,10,"Flynt Fesmire, Agent II",25KEESEP $17K / 24KEENOV $32K,$5K 2026 / $20K 2023,$7.5K 2026 / $25K 2023
122,F,Authentic,KY,,,1/8,10.3,11.1,35,49,,11.3,24.41,38.48,3.8,0.67,1 mph TW,63°,,Fair,2,On Point Training & Sales,25KEESEP $27K,$15K 2026 / $60K 2023,$6.5K 2026 / $10K 2023
123,C,MANDALOUN,KY,,,1/4,21,11.3,32.3,46,01:00.4,,11.72,25.1,7,1,12 mph CW,79°,,Fair,10,"Tom McCrocklin, Agent VII",25FTSAUG $90K,$10K 2026 / $25K 2023,$40K 2026 / $75K 2023
124,C,MO DONEGAL,KY,,,1/8,9.4,10.9,33.3,48.4,,10.89,23.98,39.17,3,0.7,8 mph CW,69°,,Fair,14,A. G. Sales,25FTKJUL $20K / 25KEEJAN ($47K),$5K 2026 / $20K 2023,$15K 2026 / $30K 2023
125,C,MYSTIC GUIDE,KY,,,1/8,10.2,11.1,34.3,49.4,,11.22,24.39,39.48,2.2,0.5,7 mph TW,83°,,Fair,13,"Blue Sapphire Stables, Agent V",25FTKOCT $15K / 25KEEJAN ($47K),$7.5K 2026 / $15K 2023,$15K 2026 / $30K 2023
126,C,Charlatan,KY,,,1/8,10,10.2,32.4,47.4,,10.47,22.98,37.98,3.36,0.75,5 mph CW,82°,,Fair,6,"Britton Peak, Agent I",25KEESEP $55K / 24KEENOV $40K,$25K 2026 / $50K 2023,$10K 2026 / $12.5K 2023
127,F,Highly Motivated,MN,,,1/8,10.1,11,34,48.3,,11.09,23.88,38.53,3,0.5,0 mph,62°,,Fair,14,"Little Farm Equine LLC, Agent I",25OBSOCT ($27K) / 24KEENOV $3K,$7.5K 2026 / $7.5K 2023,$6.5K 2026 / $10K 2023
128,C,Constitution,KY,,,1/8,10.4,11.8,35.2,50.3,,11.67,24.73,39.85,4.33,0.88,9 mph TW,81°,,Fair,18,GOP Racing Stable Corp.,25KEESEP $25K,$110K 2026 / $110K 2023,$10K 2026 / $15K 2023
129,C,Golden Pal,KY,,,1/8,10,10.4,33.2,48,,10.89,23.52,38.17,1.29,0.13,10 mph TW,81°,,Fair,11,"Randy Miles, Agent VIII",25KEESEP $120K / 25FTKFEB $30K / 24KEENOV $7K,$25K 2026 / $30K 2023,$75K 2026 / $30K 2023
130,F,City of Light,KY,,,1/8,10.3,11,34.1,48.2,,11.08,23.73,37.85,3,0.63,5 mph CW,70°,,Fair,5,"S B M Training and Sales, Agent",25KEESEP $50K,$35K 2026 / $60K 2023,$10K 2026 / $10K 2023
131,F,Cyberknife,KY,,,1/4,21.1,11.3,32.4,46,01:00.4,,11.64,24.85,4.6,0.79,3 mph TW,66°,,Fair,17,30-30 Ranch,25KEESEP $15K / 24KEENOV $55K,$15K 2026 / $30K 2023,$5K 2026 / $20K 2023
132,C,DRAIN THE CLOCK,NY,,,1/8,9.4,10.8,32.3,46.1,,10.71,22.88,36.48,7,0.75,2 mph TW,63°,,Fair,12,"de Meric Sales, Agent I",25SARAUG $145K / 24FTNMIX $120K,$10K 2026 / $10K 2023,$50K 2026 / $40K 2023
133,F,Colonel Liam,FL,,,1/4,21.3,11.9,33.2,47.2,01:02.3,,11.98,25.82,19,1.1,5 mph CW,82°,,Fair,4,Ocala Stud,HB,$6.5K 2026 / $6.5K 2023,$20K 2026 / $35K 2023
134,F,Bucchero,FL,,,,,,,,,,,,3,0.75,,,,,15,"Sweet River Thoroughbreds, Agent I",24FTDDE $5K,$12.5K 2026 / $5K 2023,$20K 2026 / $7.5K 2023
135,C,Jackie's Warrior,NY,,,1/8,9.4,10.7,33,49.4,,10.59,23.38,40.04,3,0.5,2 mph CW,61°,,Fair,9,"Sequel Bloodstock, Agent for Chester Broman",HB,$25K 2026 / $50K 2023,$7.5K 2026 / $6K 2023
136,F,Hard Spun,KY,,,1/8,10.1,11.1,34.4,52,,11.32,24.6,41.85,2.43,0.58,8 mph TW,80°,,Fair,14,Great Destiny,25KEESEP $12K,$20K 2026 / $35K 2023,$10K 2026 / $15K 2023
137,F,Cyberknife,KY,,,1/8,10.1,10.9,34.3,51.1,,10.99,24.41,41.1,2.43,0.58,9 mph CW,83°,,Fair,16,"Blas Perez Stables, Agent I",25OBSOCT ($85K) / 25KEESEP ($90K),$15K 2026 / $30K 2023,$7.5K 2026 / $7.5K 2023
138,C,Practical Joke,FL,,,1/4,20.4,11.9,32.3,47.3,01:06.2,,11.94,26.87,7,1,8 mph TW,79°,,Fair,10,"Tom McCrocklin, Agent IX",HB,$75K 2026 / $25K 2023,$25K 2026 / $50K 2023
139,C,Army Mule,AR,,,1/8,9.3,10.8,32.4,47.4,,10.63,23.34,38.21,3,0.79,5 mph TW,72°,,Slow,2,"Cesar Loya Training & Sales, Agent",25TTAYRL $57K,$25K 2026 / $12.5K 2023,$45K 2026 / $100K 2023
140,F,Highly Motivated,KY,,,1/8,10.2,11.1,35,50,,11.39,24.67,39.79,3,0.67,4 mph CW,71°,,Fair,13,Marco Hernandez Stables LLC,25KEESEP $9K / 25FTKFEB ($7K),$7.5K 2026 / $7.5K 2023,$12.5K 2026 / $15K 2023
141,C,FROSTED,NY,,,1/8,10.1,12.1,NaN,NaN,,12.29,NA,NA,5.67,0.9,8 mph TW,81°,*REIGNS BROKE*,Fair,18,Kae Vazquez Stables LLC,25FTKOCT $20K,$12.5K 2026 / $10K 2023,2.5K CAN$ 2026 / N/A 2023
142,C,Golden Pal,KY,,,1/8,10.2,11,34.1,48.3,,11.06,23.87,38.39,7,1,4 mph TW,66°,,Fair,14,"Winner Circle Racing Stable Corp., Agent",25FTKOCT $50K,$25K 2026 / $30K 2023,$7.5K 2026 / $7.5K 2023
143,C,PRACTICAL JOKE,KY,,,1/8,9.4,10.9,34.1,50.1,,10.98,24.48,40.54,0,0,4 mph TW,79°,,Fair,11,"Scanlon Training & Sales, Agent",25FTSAUG $350K / 24FTKNOV $250K,$75K 2026 / $25K 2023,$125K 2026 / $50K 2023
144,C,Speaker's Corner,KY,,,,,,,,,,,,4.33,0.88,,,,,2,"L. G., Agent I",25FTKFEB $50K,$10K 2026 / $20K 2023,$20K 2026 / $35K 2023
145,C,Blame,KY,,,1/8,10,10.4,33.3,48.1,,10.98,23.71,38.29,1.67,0.33,7 mph CW,83°,,Fair,14,"Omar Ramirez Bloodstock, Agent XXV",25KEESEP $13K,$25K 2026 / $25K 2023,$15K 2026 / $30K 2023
146,C,ESSENTIAL QUALITY,NY,,,1/4,21.1,11.2,32.3,46,01:01.0,,11.48,24.81,3.57,0.69,9 mph TW,75°,,Fair,4,"Ocala Stud, Agent",25SARAUG $220K,$25K 2026 / $75K 2023,$10K 2026 / $7.5K 2023
147,F,VEKOMA,FL,,,1/8,10,10.4,33.1,48,,10.83,23.23,38.04,3,0.5,10 mph TW,82°,,Fair,15,CM Thoroughbreds,25KEEJAN ($70K),$100K 2026 / $15K 2023,$10K 2026 / $25K 2023
148,C,Mandaloun,KY,,,,,,,,,,,,3,0.75,,,,,11,"Randy Miles, Agent VIII",25KEESEP $260K / 24KEENOV $110K,$10K 2026 / $25K 2023,$75K 2026 / $25K 2023
149,F,Gretzky the Great,FL,,,1/8,10.1,10.9,33.3,48.2,,10.87,23.5,38.35,3,0.81,7 mph TW,76°,,Fair,18,"GOP Racing Stable Corp., Agent V",25OBSOCT $30K,$3K 2023 / $3K 2023,$5K 2026 / $10K 2023
150,C,Drain the Clock,KY,,,1/8,10,10.4,33.4,49.2,,10.8,23.98,39.48,4,0.7,0 mph,61°,,Fair,11,"Randy Miles, Agent VIII",25KEESEP $140K / 24KEENOV $30K,$10K 2026 / $10K 2023,$7.5K 2026 / $10K 2023
151,F,Cyberknife,KY,,,,,,,,,,,,7,0.85,,,,,7,"Hoppel LLC, Agent XXV",25FTKOCT $70K,$15K 2026 / $30K 2023,$60K 2026 / $30K 2023
152,F,Audible,KY,,,1/8,10.2,10.9,33.3,47.2,,10.92,23.35,37.02,3,0.5,11 mph TW,77°,,Fair,15,Nice and Easy Thoroughbreds,25KEESEP $13K / 24KEENOV $35K,$7.5K 2026 / $25K 2023,$25K 2026 / $45K 2023
153,F,Aloha West,KY,,,1/8,10,10.4,33.4,48.3,,10.92,23.87,38.79,3,0.69,7 mph TW,80°,,Fair,14,"Little Farm Equine LLC, Agent I",25KEESEP ($27K) / 24KEENOV $17K,$6.5K 2026 / $10K 2023,2.5K CAN$ 2026 / N/A 2023
154,C,Street Sense,NY,,,,,,,,,,,,3,0.7,,,,,12,"de Meric Sales, Agent I",25FTKOCT $60K,$40K 2026 / $75K 2023,$3.5K 2026 / $3.5K 2023
155,C,CYBERKNIFE,KY,,,1/8,10.3,11.1,35,49.4,,11.38,24.54,39.35,2,0.5,12 mph TW,82°,,Fair,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",25FTKJUL $60K,$15K 2026 / $30K 2023,$75K 2026 / $25K 2023
156,C,Cyberknife,KY,,,1/8,10.3,11,34.3,48.2,,11.15,24.09,37.96,3,0.67,2 mph TW,84°,,Fair,15,CM Thoroughbreds,25KEESEP ($35K) / 25KEEJAN $42K,$15K 2026 / $30K 2023,$10K 2026 / $12.5K 2023
157,C,Volatile,NY,,,1/8,10,10.4,33.3,48,,10.87,23.68,38.1,13,1.07,12 mph TW,79°,,Fair,9,"Sequel Bloodstock, Agent III",HB,$10K 2026 / $12.5K 2023,$30K 2026 / $25K 2023
158,F,Aloha West,KY,,,1/8,10.3,11.7,35.1,49.3,,11.58,24.62,39.17,3,0.67,8 mph TW,77°,,Fair,5,"S B M Training and Sales, Agent I",HB,$6.5K 2026 / $10K 2023,$7.5K 2026 / $5K 2023
159,F,Mitole,KY,,,1/8,10.2,11.1,34.3,49.1,,11.35,24.35,38.9,2.11,0.57,8 mph TW,83°,,Fair,1,"Sugar Hill LLC, Agent",25OBSOCT $15K / 24KEENOV $15K,$10K 2026 / $15K 2023,$7.5K 2026 / $7.5K 2023
160,C,Omaha Beach,KY,,,1/8,10.2,11,34.3,49,,11.07,24.29,38.79,6.43,0.88,5 mph CW,69°,,Fair,7,"Julie Davies LLC, Agent XIV",24KEENOV $77K,$75K 2026 / $30K 2023,$15K 2026 / $60K 2023
161,C,DRAIN THE CLOCK,KY,,,1/8,10,10.4,33.4,48,,10.96,23.82,38.09,5,0.83,4 mph CW,77°,,Fair,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",25FTKJUL $125K / 25FTKFEB $100K / 24KEENOV $47K,$10K 2026 / $10K 2023,$25K 2026 / $75K 2023
162,F,Mo Donegal,IN,,,1/8,10.1,11,33.2,46.4,,11.1,23.38,36.67,4,0.8,8 mph TW,76°,,Fair,9,Potrero Stables,24KEENOV $5K,$5K 2026 / $20K 2023,$7.5K 2026 / $7.5K 2023
163,F,Liam's Map,KY,,,1/8,10.1,10.9,34.1,49.1,,10.99,24.1,39.17,15,1,8 mph TW,77°,,Fair,18,Navas Equine,25KEESEP $52.5K,$50K 2026 / $40K 2023,N/A 2026 / $150K 2023
164,C,Hard Spun,KY,,,1/8,10.1,11.1,35,50.1,,11.26,24.87,40.17,2.64,0.6,7 mph CW,83°,,Fair,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",25KEESEP $12K,$20K 2026 / $35K 2023,N/A 2026 / $6.5K 2023
165,F,Maximus Mischief,KY,,,1/8,10,10.3,33.3,49.1,,10.79,23.62,39.29,3,0.5,0 mph,64°,,Fair,14,"Omar Ramirez Bloodstock, Agent XX",25OBSWIN $12K / 24KEENOV $2.2K,$20K 2026 / $7.5K 2023,$7.5K 2026 / $7.5K 2023
166,U,zz blank page 1,,,,,,,,,,,,,,,,,,,,Blank Pages,,,$3.5K 2026 / $2.5K 2023
167,C,Beau Liam,FL,,,1/4,21.3,11.9,33.2,47.1,01:03.3,,11.92,25.76,5.4,0.94,9 mph TW,76°,,Fair,10,"Tom McCrocklin, Agent",HB,$7.5K 2026 / $6K 2023,$5K 2026 / $10K 2023
168,F,Mitole,KY,,,1/4,20.3,11.8,32.1,46,01:02.1,,11.63,25.51,0.87,0,3 mph TW,82°,,Fair,17,"White Lilac (Katie Miranda), Agent I",25KEESEP $27K,$10K 2026 / $15K 2023,$5K 2026 / $10K 2023
169,C,Roadster,FL,,,1/4,21.3,12,33.3,48.2,01:04.2,,12.17,26.85,2.56,0.69,8 mph CW,83°,,Fair,4,Ocala Stud,HB,$7.5K 2026 / $7.5K 2023,$20K 2026 / $35K 2023
170,C,Charlatan,NY,,,1/8,10,10.4,33.3,49.1,,10.89,23.69,39.23,3,0.67,12 mph CW,80°,,Fair,9,"Sequel Bloodstock, Agent for Chester Broman",HB,$25K 2026 / $50K 2023,$25K 2026 / $35K 2023
171,C,Munnings,KY,,,1/4,21.3,11.9,33.2,47.2,01:05.3,,11.98,25.88,3,0.64,7 mph CW,81°,,Fair,10,"Tom McCrocklin, Agent VI",25KEESEP ($250K),$45K 2026 / $100K 2023,
172,C,NASHVILLE,KY,,,1/8,9.4,10.8,33,53.2,,10.62,23.35,43.66,2.43,0.67,11 mph TW,81°,,Fair,14,A. G. Sales,25FTKJUL $15K,$12.5K 2026 / $15K 2023,
173,F,TALE OF SILENCE,KY,,,1/8,10.2,11,33.4,48,,11.05,23.54,37.6,2.5,0.57,4 mph TW,82°,,Fair,18,"Medallion Farms, Agent",25FTKOCT $3K,2.5K CAN$ 2026 / N/A 2023,
174,F,Central Banker,NY,,,1/8,10.1,11,34,49,,11.1,23.85,38.85,3,0.75,3 mph TW,81°,,Fair,12,"de Meric Sales, Agent X",25OBSWIN $9K,$7.5K 2026 / $7.5K 2023,
175,C,Good Magic,KY,,,1/8,10.1,10.9,33.4,47.2,,10.89,23.66,37.23,3,0.6,0 mph,62°,,Fair,17,"Caliente Thoroughbreds, Agent XIII",25KEESEP $70K,$125K 2026 / $50K 2023,
176,C,Olympiad,KY,,,1/8,10.1,11,34.1,49.2,,11.15,24.06,39.35,7,0.94,3 mph CW,80°,,Slow,18,"GOP Racing Stable Corp., Agent V",25KEESEP $65K,$20K 2026 / $35K 2023,
177,C,Drain the Clock,KY,,,1/8,10,10.3,33.3,48.3,,10.78,23.68,38.79,7,0.75,3 mph TW,71°,,Slow,6,"Britton Peak, Agent I",25KEESEP $195K / 24KEENOV $75K,$10K 2026 / $10K 2023,
178,C,Corniche,FL,,,1/8,10,10.3,32.3,45.4,,10.73,22.74,35.92,3.67,0.93,5 mph TW,67°,,Fair,9,"Sequel Bloodstock, Agent VI",25OBSOCT $200K,$15K 2026 / $30K 2023,
179,F,Flameaway,KY,,,1/8,9.4,10.7,32.3,46.1,,10.54,22.85,36.48,1.8,0.57,10 mph TW,78°,,Fair,13,"Wildheart Thoroughbreds LLC, Agent II",25FTKOCT $15K,$10K 2026 / $7.5K 2023,
180,F,Munnings,KY,,,1/8,10,10.4,33.3,48.4,,10.85,23.63,38.92,3,0.67,11 mph TW,76°,,Fair,7,"Hoppel LLC, Agent XIX",25KEESEP $95K,$45K 2026 / $100K 2023,
181,F,Mandaloun,KY,,,1/8,10,10.4,33.3,48.3,,10.92,23.79,38.71,4,0.9,9 mph TW,82°,,Fair,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent I",25KEESEP $100K,$10K 2026 / $25K 2023,
182,F,PRACTICAL JOKE,KY,,,1/4,21.2,11.8,33,46.1,01:01.1,,11.71,24.98,3,0.5,1 mph CW,61°,,Fair,10,"Tom McCrocklin, Agent I",25FTKJUL $170K / 25FTKFEB $120K,$75K 2026 / $25K 2023,
183,F,Jack Christopher,KY,,,1/8,10,10.4,33.4,49.2,,10.98,23.92,39.59,1.91,0.38,0 mph,62°,,Fair,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent VIII",25KEESEP $160K / 24KEENOV $100K,$15K 2026 / $45K 2023,
184,C,TACITUS,NY,,,1/4,21.3,11.9,33.2,47.3,01:03.2,,11.87,26.15,5.4,0.81,1 mph CW,70°,,Fair,13,"Blue Sapphire Stables, Agent III",25SARAUG $20K,$5K 2026 / $10K 2023,
185,F,Jimmy Creed,KY,,,1/8,10,10.4,33.4,49.3,,10.83,23.98,39.6,4.33,0.88,9 mph TW,76°,,Fair,9,"Old South Farm LLC, Agent I",25OBSWIN $40K / 24KEENOV $12K,$7.5K 2026 / $10K 2023,
186,F,Yaupon,KY,,,1/8,10.1,11,34.4,50.3,,11.1,24.73,40.42,1.18,0.17,11 mph TW,77°,,Fair,8,"Paul Sharp, Agent I",25KEESEP $95K / 24KEENOV $55K,$60K 2026 / $30K 2023,
187,F,Happy Saver,KY,,,1/8,9.4,10.9,34.1,NaN,,10.98,24.57,-,3,0.83,9 mph TW,79°,,Fair,1,"Top Line Sales LLC, Agent XXV",25KEESEP $150K / 24KEENOV $100K,$7.5K 2026 / $12.5K 2023,
188,F,Epicenter,KY,,,1/8,9.4,10.7,32.3,46.4,,10.59,22.99,37.03,1.67,0.5,0 mph,62°,,Fair,16,"Blas Perez Stables, Agent II",25KEESEP ($35K),$25K 2026 / $45K 2023,
189,F,TALE OF SILENCE,KY,,,1/8,10,10.3,33.2,49,,10.79,23.59,39.09,2.71,0.73,0 mph,62°,,Fair,7,"Hoppel LLC, Agent XX",25FTKOCT $7K,2.5K CAN$ 2026 / N/A 2023,
190,C,Galilean,NY,,,1/8,10,10.4,33.3,48.2,,10.92,23.71,38.53,3,0.7,4 mph CW,67°,,Fair,17,"White Lilac (Katie Miranda), Agent",HB,$3.5K 2026 / $3.5K 2023,
191,F,Greatest Honour,KY,,,1/8,10.1,10.9,33.2,46.4,,10.95,23.23,36.79,3,0.67,3 mph CW,72°,,Slow,15,Maldonado Thoroughbreds,25KEESEP $30K / 25KEEJAN ($9.5K),$7.5K 2026 / $7.5K 2023,
192,C,Practical Joke,KY,,,1/8,9.4,10.9,34,50.3,,10.89,24.32,40.84,3,0.5,0 mph,63°,,Fair,5,"Hartley / DeRenzo Thoroughbreds LLC, Agent I",25KEESEP $100K,$75K 2026 / $25K 2023,
193,F,Volatile,KY,,,1/8,10.1,11,34.1,49.1,,11.15,24.04,39.07,23,1.08,0 mph,63°,,Fair,10,"Flynt Fesmire, Agent I",25KEESEP $25K,$10K 2026 / $12.5K 2023,
194,C,Girvin,LA,,,1/8,10.2,11,34.2,52.1,,11.04,24.13,41.92,3,0.5,0 mph,62°,,Fair,15,Goldencents Thoroughbreds,25OBSOCT $10K,$30K 2026 / $25K 2023,
195,C,THOUSAND WORDS,MD,,,1/8,10.2,11,34.1,49,,11.14,23.96,38.78,5.4,1,0 mph,64°,,Fair,2,"L. G., Agent I",25FTKJUL $25K,$7.5K 2026 / $5K 2023,
196,C,Roadster,FL,,,1/8,10.2,10.9,34,48,,10.98,23.6,37.73,3,0.75,3 mph TW,76°,,Fair,15,Platinum Equine,25OBSOCT $9K,$7.5K 2026 / $7.5K 2023,
197,C,Authentic,KY,,,1/8,9.4,10.8,33.2,NaN,,10.77,23.62,N/A,3,0.75,0 mph,62°,,Fair,18,Navas Equine,25KEESEP $80K,$15K 2026 / $60K 2023,
198,C,ESSENTIAL QUALITY,NY,,,1/8,10.2,11.1,34.3,49,,11.39,24.26,38.79,3.67,0.71,0 mph,82°,,Fair,12,"de Meric Sales, Agent IV",25SARAUG ($185K),$25K 2026 / $75K 2023,
199,F,Pinehurst,KY,,,,,,,,,,,,1,0,,,,,7,"Hoppel LLC, Agent V",24KEENOV $2K,$7.5K 2026 / $7.5K 2023,
200,F,Uncle Mo,KY,,,1/8,10.3,11.1,34.4,49.1,,11.37,24.38,38.6,3,0.7,8 mph TW,82°,,Fair,5,"S B M Training and Sales, Agent",25FTKOCT $100K,N/A 2026 / $150K 2023,
201,C,Mutasaabeq,FL,,,1/8,10,10.3,33,47.3,,10.74,23.1,37.67,Infinite,1,3 mph CW,83°,,Fair,13,"Blue River Bloodstock, Inc., Agent",HB,N/A 2026 / $6.5K 2023,
202,F,Pinehurst,KY,,,1/8,10.1,11,33.4,49,,11.05,23.78,38.84,2.5,0.71,3 mph TW,65°,,Fair,18,"Medallion Farms, Agent II",25KEESEP $12K,$7.5K 2026 / $7.5K 2023,
203,C,Rogueish,FL,,,1/4,21,11.3,32.3,46.4,01:04.3,,11.66,25.92,4.33,0.75,7 mph TW,83°,,Fair,6,RiceHorse Stable (Brandon & Ali Rice),HB,$3.5K 2026 / $2.5K 2023,
204,C,Magic On Tap,FL,,,,,,,,,,,,1.93,0.32,,,,,18,"Twelve Toes LLC, Agent III",25OBSWIN $10K,$5K 2026 / $5K 2023,
205,F,TACITUS,KY,,,,,,,,,,,,6,1.07,,,,,3,"Pick View LLC, Agent IV",25FTKOCT $70K / 24KEENOV $35K,$5K 2026 / $10K 2023,
206,C,IDOL,KY,,,1/8,10.3,11,34,47.1,,11.06,23.51,36.67,2.2,0.5,8 mph TW,76°,,Fair,3,J V C Training and Sales,25FTKOCT $32K,$5K 2026 / $10K 2023,
207,F,Olympiad,KY,,,1/4,22.2,11.2,33.4,46.1,01:00.1,,11.42,23.98,4.6,0.86,3 mph CW,82°,,Slow,17,"Caliente Thoroughbreds, Agent II",25KEESEP $55K,$20K 2026 / $35K 2023,
208,C,Bolt d'Oro,KY,,,1/8,10.1,11,33.4,47.2,,11.04,23.65,37.21,3,0.72,11 mph CW,70°,,Fair,15,"CM Thoroughbreds, Agent II",25KEESEP ($50K) / 25FTKFEB $20K,$25K 2026 / $35K 2023,
209,F,Maclean's Music,KY,,,1/8,10,10.4,33.1,47.2,,10.81,23.21,37.54,5.29,0.91,3 mph CW,80°,,Slow,15,"CM Thoroughbreds, Agent I",25KEESEP $100K,$30K 2026 / $50K 2023,
210,F,Practical Joke,KY,,,1/8,10,11,34.4,53.3,,11.1,24.92,43.67,2,0.33,3 mph CW,80°,,Slow,14,"Grade One Investments LLC, Agent IX",HB,$75K 2026 / $25K 2023,
211,F,Social Inclusion,FL,,,1/8,10.1,10.9,34,48.4,,10.95,23.89,38.73,3.8,1,8 mph CW,85°,,Slow,14,"Omar Ramirez Bloodstock, Agent XII",25KEESEP $17K,N/A 2026 / N/A 2023,
212,C,Jackie's Warrior,KY,,,1/4,21.4,11.9,33.3,47.4,01:06.1,,11.9,26.12,7,0.88,6 mph CW,85°,,Slow,10,"Tom McCrocklin, Agent X",25KEESEP $160K,$25K 2026 / $50K 2023,
213,C,Nashville,KY,,,1/8,10.2,11.1,35.2,51.3,,11.23,25.04,41.29,1.86,0.4,4 mph TW,84°,,Slow,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent VIII",25KEESEP $130K / 24KEENOV ($47K),$12.5K 2026 / $15K 2023,
214,F,Keepmeinmind,NY,,,,,,,,,,,,3,0.5,,,,,14,"Omar Ramirez Bloodstock, Agent XXI",25OBSOCT $40K / 25KEEJAN $5K,$2K 2026 / $6.5K 2023,
215,C,Rock Your World,KY,,,1/4,21.3,11.8,33.1,47.1,01:03.2,,11.76,25.73,1.5,0.4,3 mph CW,80°,,Slow,9,"Old South Farm LLC, Agent",25KEESEP $60K,$7.5K 2026 / $10K 2023,
216,C,Catholic Boy,KY,,,1/8,10.4,11.7,35.3,50.1,,11.47,24.91,39.4,1.55,0.36,4 mph TW,84°,,Slow,5,"S B M Training and Sales, Agent III",25OBSOCT ($27K) / 25OBSWIN $15K / 24KEENOV $1.5K,$5K 2026 / $15K 2023,
217,F,Munnings,KY,,,1/8,10.2,11.2,34.3,49.1,,11.42,24.36,38.85,2,0.42,2 mph HW,85°,,Slow,15,CM Thoroughbreds,25KEESEP ($15K),$45K 2026 / $100K 2023,
218,F,TAPIT,KY,,,,,,,,,,,,2.53,0.6,,,,,12,"de Meric Sales, Agent I",25FTKOCT $90K,$185K 2026 / $185K 2023,
219,C,Tiz the Law,KY,,,1/8,10.2,11,33.3,47.1,,11.1,23.39,36.85,2.43,0.5,7 mph CW,69°,,Fair,11,"Randy Miles, Agent VIII",25KEESEP $67K,$40K 2026 / $30K 2023,
220,F,Practical Joke,KY,,,1/8,10.1,10.9,34,48.2,,10.94,23.9,38.29,3,1,8 mph TW,70°,,Fair,13,Marco Hernandez Stables LLC,25KEESEP ($17K),$75K 2026 / $25K 2023,
221,F,Street Sense,KY,,,1/8,10,10.4,34.4,51.4,,10.95,24.84,41.98,2.6,0.61,6 mph CW,74°,,Fair,1,"Top Line Sales LLC, Agent XXVI",25KEESEP $170K,$40K 2026 / $75K 2023,
222,F,Jack Christopher,KY,,,1/8,10,10.4,33.3,48.4,,10.92,23.71,38.96,10,0.95,10 mph TW,74°,,Fair,16,"Doble J Equine Sales, Agent I",25KEESEP $17K / 24KEENOV $85K,$15K 2026 / $45K 2023,
223,C,Magic On Tap,FL,,,1/4,21.1,11.9,33,47.1,01:03.2,,11.89,26.1,3,0.6,3 mph CW,80°,,Slow,6,RiceHorse Stable (Brandon & Ali Rice),HB,$5K 2026 / $5K 2023,
224,C,Gretzky the Great,FL,,,,,,,,,,,,15,1.13,,,,,3,"Marcial Galan, Agent II",25OBSWIN ($4.5K),$3K 2023 / $3K 2023,
